timestamp_ms,update_count,mid_price,best_bid,best_ask,spread,latency_ns,num_updates,imbalance,buy_aggression,sell_aggression,aggression_ratio,nearest_ask_wall_price,nearest_ask_wall_qty,nearest_bid_wall_price,nearest_bid_wall_qty,wall_event
1772057345073,123,69017.65,69017.65,69017.66,0.01,95512,233,0.6964,1572.7453,1391.1172,0.5306,69063.31,6.13,68893.99,7.26,[WALL APPEARED] ASK $69159.920  7.24 BTC
1772057346069,124,69017.65,69017.65,69017.66,0.01,68745,54,0.6985,1571.9812,1392.4307,0.5303,69063.31,6.13,68893.99,7.26,[WALL APPEARED] ASK $69159.920  7.24 BTC
1772057347061,125,69017.65,69017.65,69017.66,0.01,49202,29,0.6985,1571.6462,1394.7846,0.5298,69063.31,6.13,68893.99,7.26,[WALL APPEARED] ASK $69159.920  7.24 BTC
1772057348071,126,69017.65,69017.65,69017.66,0.01,121113,72,0.6472,1575.2206,1396.1707,0.5301,69063.31,6.13,68893.99,7.26,[WALL APPEARED] ASK $69159.920  7.24 BTC
1772057349085,127,69017.65,69017.65,69017.66,0.01,121653,73,0.7920,1578.6115,1398.4502,0.5303,69063.31,6.13,68893.99,7.26,[WALL APPEARED] ASK $69159.920  7.24 BTC
1772057350064,128,69017.65,69017.65,69017.66,0.01,24434,32,0.8438,1547.9590,1359.4399,0.5324,69063.31,6.13,68893.99,7.26,[WALL APPEARED] ASK $69159.920  7.24 BTC
1772057351074,129,69017.65,69017.65,69017.66,0.01,293034,412,0.1963,1564.6687,1410.6701,0.5259,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68885.710  7.24 BTC
1772057352093,130,69017.65,69017.65,69017.66,0.01,95986,110,0.0174,1529.8426,1371.6203,0.5273,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68885.710  7.24 BTC
1772057353071,131,69017.65,69017.65,69017.66,0.01,125153,64,0.0209,1518.7221,1361.6004,0.5273,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68885.710  7.24 BTC
1772057354088,132,69017.65,69017.65,69017.66,0.01,76577,122,0.0165,1453.7105,1359.4219,0.5168,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68885.710  7.24 BTC
1772057355062,133,69017.65,69017.65,69017.66,0.01,18834,38,0.0165,1442.8032,1359.2302,0.5149,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68885.710  7.24 BTC
